Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,x,eo,xp,b/t,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,rts,ho,PA,PB,PC,PD,T,WGi
MC,MC12X35,MC12X35,F,35,10.3,12,12,3.77,3  3/4 ,0.465,  7/16,  1/4 ,0.7, 11/16,1.31,1  5/16,1.05,1.07,0.428,5.39,20.6,216,43.2,36,4.59,12.6,8.62,4.64,1.11,1.24,297,12.6,9.88,6.52,3.15,13.1,21.4,5.18,0.831,1.3,11.3,34,37.7,27.8,31.5,9  3/8 ,2  1/2 
MC,MC12X31,MC12X31,F,31,9.12,12,12,3.67,3  5/8 ,0.37,  3/8 ,  3/16,0.7, 11/16,1.31,1  5/16,1.08,1.17,0.425,5.24,25.9,202,39.7,33.7,4.71,11.3,8.15,4.37,1.11,1,267,12,8.97,5.34,2.66,13.1,19.7,5.34,0.822,1.28,11.3,33.7,37.4,27.7,31.3,9  3/8 ,2  1/4 
MC,MC12X14.3,MC12X14.3,F,14.3,4.18,12,12,2.12,2  1/8 ,0.25,  1/4 ,  1/8 ,0.313,  5/16,0.75,  3/4 ,0.377,0.435,0.174,6.77,43.5,76.1,15.9,12.7,4.27,1,1.21,0.574,0.489,0.117,32.8,8.39,1.89,1.6,0.796,3.42,7.92,4.37,0.965,0.672,11.7,29,31.1,26.1,28.2,10  1/2 ,1  1/4 
MC,MC12X10.6,MC12X10.6,F,10.6,3.1,12,12,1.5,1  1/2 ,0.19,  3/16,  1/8 ,0.309,  5/16,0.75,  3/4 ,0.269,0.284,0.129,4.85,57.3,55.3,11.6,9.22,4.22,0.378,0.635,0.307,0.349,0.0596,11.7,6,0.951,0.822,0.41,2.37,5.79,4.27,0.983,0.478,11.7,27.8,29.3,25.5,27,10  1/2 ,–
MC,MC10X41.1,MC10X41.1,F,41.1,12.1,10,10,4.32,4  3/8 ,0.796, 13/16,  7/16,0.575,  9/16,1.31,1  5/16,1.09,0.864,0.604,7.51,9.66,157,39.3,31.5,3.61,15.7,9.49,4.85,1.14,2.26,269,12.5,9.59,7.43,3.74,9.55,19.5,4.26,0.79,1.44,9.43,31.4,35.7,24.3,28.6,7  3/8 ,2  1/2 
MC,MC10X33.6,MC10X33.6,F,33.6,9.87,10,10,4.1,4  1/8 ,0.575,  9/16,  5/16,0.575,  9/16,1.31,1  5/16,1.09,1.06,0.494,7.13,13.4,139,33.7,27.8,3.75,13.1,8.28,4.35,1.15,1.2,224,11.6,8.24,5.78,2.83,9.55,16.7,4.47,0.77,1.4,9.43,30.8,34.9,24.1,28.2,7  3/8 ,2  1/2 
MC,MC10X28.5,MC10X28.5,F,28.5,8.37,10,10,3.95,4,0.425,  7/16,  1/4 ,0.575,  9/16,1.31,1  5/16,1.12,1.21,0.419,6.87,18.1,126,30,25.3,3.89,11.3,7.59,3.99,1.16,0.791,193,10.9,7.26,4.52,2.2,9.55,14.9,4.68,0.752,1.36,9.43,30.4,34.3,24,27.9,7  3/8 ,2  1/2 
MC,MC10X25,MC10X25,F,25,7.34,10,10,3.41,3  3/8 ,0.38,  3/8 ,  3/16,0.575,  9/16,1.31,1  5/16,0.953,1.03,0.367,5.93,20.2,110,26.2,22,3.87,7.25,5.65,2.96,0.993,0.638,124,9.43,5.42,3.4,1.75,8.21,13,4.46,0.803,1.17,9.43,28.9,32.3,23.4,26.8,7  3/8 ,2
MC,MC10X22,MC10X22,F,22,6.45,10,10,3.32,3  3/8 ,0.29,  5/16,  3/16,0.575,  9/16,1.31,1  5/16,0.99,1.12,0.467,5.77,26.5,102,23.9,20.5,3.99,6.4,5.29,2.75,0.997,0.51,110,9,4.95,2.78,1.3,8.21,11.8,4.62,0.791,1.14,9.43,28.7,32,23.3,26.6,7  3/8 ,2
MC,MC10X8.4,MC10X8.4,F,8.4,2.46,10,10,1.5,1  1/2 ,0.17,  3/16,  1/8 ,0.28,  1/4 ,0.75,  3/4 ,0.284,0.332,0.123,5.36,52.6,31.9,7.92,6.39,3.61,0.326,0.548,0.268,0.364,0.0413,7,4.85,0.678,0.559,0.278,1.81,3.93,3.68,0.972,0.486,9.72,23.8,25.3,21.5,23,8  1/2 ,–
