Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,OD,tnom,tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
PIPE,Pipe3SCH40,Pipe3STD,F,7.58,2.07,3.5,0.216,0.201,17.4,2.85,2.19,1.63,1.17,2.85,2.19,1.63,1.17,5.69,–
PIPE,Pipe2-1/2SCH40,Pipe2-1/2STD,F,5.8,1.61,2.875,0.203,0.189,15.2,1.45,1.37,1.01,0.952,1.45,1.37,1.01,0.952,2.89,–
PIPE,Pipe2SCH40,Pipe2STD,F,3.66,1.02,2.375,0.154,0.143,16.6,0.627,0.713,0.528,0.791,0.627,0.713,0.528,0.791,1.25,–
PIPE,Pipe1-1/2SCH40,Pipe1-1/2STD,F,2.72,0.749,1.9,0.145,0.135,14.1,0.293,0.421,0.309,0.626,0.293,0.421,0.309,0.626,0.586,–
PIPE,Pipe1-1/4SCH40,Pipe1-1/4STD,F,2.27,0.625,1.66,0.14,0.13,12.8,0.184,0.305,0.222,0.543,0.184,0.305,0.222,0.543,0.368,–
PIPE,Pipe1SCH40,Pipe1STD,F,1.68,0.469,1.315,0.133,0.124,10.6,0.083,0.177,0.126,0.423,0.083,0.177,0.126,0.423,0.166,–
PIPE,Pipe3/4SCH40,Pipe3/4STD,F,1.13,0.312,1.05,0.113,0.105,10,0.035,0.0942,0.0671,0.336,0.035,0.0942,0.0671,0.336,0.07,–
PIPE,Pipe1/2SCH40,Pipe1/2STD,F,0.85,0.234,0.84,0.109,0.101,8.32,0.016,0.0555,0.0388,0.264,0.016,0.0555,0.0388,0.264,0.032,–
PIPE,Pipe26SCH20,Pipe26XS,F,136,36.1,26,0.5,0.465,55.9,2950,294,227,9.03,2950,294,227,9.03,5900,–
PIPE,Pipe24XS,Pipe24XS,F,126,33.3,24,0.5,0.465,51.6,2310,250,192,8.33,2310,250,192,8.33,4620,–
PIPE,Pipe20SCH30,Pipe20XS,F,104,27.6,20,0.5,0.465,43,1320,172,132,6.91,1320,172,132,6.91,2640,–
PIPE,Pipe18XS,Pipe18XS,F,93.5,24.8,18,0.5,0.465,38.7,956,139,106,6.21,956,139,106,6.21,1910,–
PIPE,Pipe16SCH40,Pipe16XS,F,82.9,22,16,0.5,0.465,34.4,665,109,83.1,5.5,665,109,83.1,5.5,1330,–
PIPE,Pipe14XS,Pipe14XS,F,72.2,19.2,14,0.5,0.465,30.1,440,82.7,62.9,4.79,440,82.7,62.9,4.79,880,–
PIPE,Pipe12XS,Pipe12XS,F,65.5,17.5,12.75,0.5,0.465,27.4,339,70.2,53.2,4.35,339,70.2,53.2,4.35,678,–
PIPE,Pipe10SCH80,Pipe10XS,F,54.8,15.1,10.75,0.5,0.465,23.1,199,49.2,37,3.64,199,49.2,37,3.64,398,–
PIPE,Pipe8SCH80,Pipe8XS,F,43.4,11.9,8.625,0.5,0.465,18.5,100,31,23.1,2.89,100,31,23.1,2.89,199,–
PIPE,Pipe6SCH80,Pipe6XS,F,28.6,7.83,6.625,0.432,0.403,16.4,38.3,15.6,11.6,2.2,38.3,15.6,11.6,2.2,76.6,–
PIPE,Pipe5SCH80,Pipe5XS,F,20.8,5.73,5.563,0.375,0.349,15.9,19.5,9.5,7.02,1.85,19.5,9.5,7.02,1.85,39,–
PIPE,Pipe4SCH80,Pipe4XS,F,15,4.14,4.5,0.337,0.315,14.3,9.12,5.53,4.05,1.48,9.12,5.53,4.05,1.48,18.2,–
