Size,Type,d,b,t,R1,R2,W,A,Ix,Sx,rx,y,Iy,Sy,ry,x,Iz,rz,a
L 4 x 3 1/2 x 3/8,Aluminum Association,4.000,3.500,0.375,0.375,0.312,3.13,2.66,4.03,1.43,1.23,1.19,2.87,1.12,1.04,0.940,1.28,0.694,37.22
L 4 x 3 1/2 x 1/2,Aluminum Association,4.000,3.500,0.500,0.375,0.312,4.10,3.49,5.18,1.88,1.22,1.24,3.68,1.46,1.03,0.989,1.70,0.698,37.00
L 5 x 3 x 1/4,Aluminum Association,5.000,3.000,0.250,0.375,0.312,2.26,1.93,4.90,1.45,1.60,1.62,1.34,0.567,0.834,0.639,0.739,0.620,20.79
L 5 x 3 x 5/16,Aluminum Association,5.000,3.000,0.312,0.375,0.312,2.81,2.39,6.05,1.81,1.59,1.65,1.65,0.706,0.831,0.666,0.930,0.624,20.54
L 5 x 3 x 3/8,Aluminum Association,5.000,3.000,0.375,0.375,0.312,3.35,2.85,7.17,2.16,1.59,1.68,1.95,0.843,0.827,0.692,1.12,0.626,20.31
L 5 x 3 x 1/2,Aluminum Association,5.000,3.000,0.500,0.375,0.312,4.40,3.74,9.26,2.83,1.57,1.73,2.49,1.10,0.816,0.742,1.47,0.628,19.86
5 x 3 1/2 x 5/16,Aluminum Association,5.000,3.500,0.312,0.438,0.312,3.00,2.55,6.39,1.86,1.58,1.56,2.59,0.965,1.01,0.819,1.35,0.728,26.32
5 x 3 1/2 x 3/8,Aluminum Association,5.000,3.500,0.375,0.438,0.312,3.58,3.05,7.58,2.22,1.58,1.59,3.06,1.15,1.00,0.846,1.63,0.731,26.13
5 x 3 1/2 x 1/2,Aluminum Association,5.000,3.500,0.500,0.438,0.312,4.70,4.00,9.79,2.91,1.56,1.64,3.93,1.51,0.991,0.895,2.14,0.732,25.78
5 x 3 1/2 x 5/8,Aluminum Association,5.000,3.500,0.625,0.438,0.312,5.79,4.92,11.8,3.57,1.55,1.69,4.72,1.84,0.979,0.943,2.64,0.733,25.41
6 x 3 x 3/8,Aluminum Association,6.000,3.000,0.375,0.500,0.375,3.80,3.23,11.8,3.03,1.91,2.11,1.99,0.842,0.786,0.630,1.21,0.612,15.24
6 x 3 1/2 x 5/16,Aluminum Association,6.000,3.500,0.312,0.500,0.312,3.39,2.88,10.6,2.64,1.92,1.97,2.71,0.985,0.971,0.746,1.56,0.736,19.61
6 x 3 1/2 x 3/8,Aluminum Association,6.000,3.500,0.375,0.500,0.312,4.04,3.43,12.6,3.16,1.92,2.00,3.21,1.18,0.967,0.773,1.87,0.738,19.43
6 x 3 1/2 x 1/2,Aluminum Association,6.000,3.500,0.500,0.500,0.312,5.31,4.51,16.4,4.15,1.90,2.06,4.12,1.54,0.956,0.823,2.46,0.738,19.10
6 x 3 1/2 x 5/8,Aluminum Association,6.000,3.500,0.625,0.500,0.312,6.54,5.56,19.8,5.10,1.89,2.11,4.96,1.89,0.944,0.872,3.02,0.737,18.75
6 x 4 x 3/8,Aluminum Association,6.000,4.000,0.375,0.500,0.375,4.24,3.60,13.0,3.19,1.90,1.91,4.66,1.51,1.14,0.920,2.50,0.834,24.33
6 x 4 x 7/16,Aluminum Association,6.000,4.000,0.438,0.500,0.375,4.92,4.18,15.1,3.70,1.90,1.93,5.37,1.76,1.13,0.947,2.92,0.836,24.16
6 x 4 x 1/2,Aluminum Association,6.000,4.000,0.500,0.500,0.375,5.58,4.74,17.0,4.20,1.89,1.96,6.03,1.99,1.13,0.972,3.33,0.838,24.00
6 x 4 x 5/8,Aluminum Association,6.000,4.000,0.625,0.500,0.375,6.88,5.85,20.7,5.18,1.88,2.01,7.30,2.45,1.12,1.02,4.12,0.839,23.68
6 x 4 x 3/4,Aluminum Association,6.000,4.000,0.750,0.500,0.375,8.15,6.93,24.1,6.12,1.87,2.06,8.46,2.89,1.10,1.07,4.88,0.839,23.35
7 x 4 x 1/2,Aluminum Association,7.000,4.000,0.500,0.500,0.375,6.17,5.24,26.1,5.66,2.23,2.39,6.28,2.03,1.09,0.903,3.71,0.842,18.70
8 x 6 x 5/8,Aluminum Association,8.000,6.000,0.625,0.500,0.312,9.84,8.37,53.6,9.74,2.53,2.50,26.0,5.78,1.76,1.51,13.6,1.275,29.07
8 x 6 x 11/16,Aluminum Association,8.000,6.000,0.688,0.500,0.375,10.8,9.15,58.1,10.6,2.52,2.52,28,6.27,1.75,1.53,14.7,1.266,29.03
8 x 6 x 3/4,Aluminum Association,8.000,6.000,0.750,0.500,0.375,11.7,9.93,62.6,11.5,2.51,2.55,30.2,6.79,1.74,1.55,15.9,1.265,28.94
