Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
WT,WT3X7.5,WT3X7.5,F,7.5,2.21,3,3,5.99,6,0.23,  1/4 ,  1/8 ,0.26,  1/4 ,0.51,  3/4 ,0.558,0.185,11.5,13,1.41,1.03,0.577,0.797,4.66,2.37,1.56,1.45,0.0504,0.0342,1.71,0.937,11.7,17.6,12,18,3  1/2 
WT,WT3X8,WT3X8,F,8,2.37,3.14,3  1/8 ,4.03,4,0.26,  1/4 ,  1/8 ,0.405,  3/8 ,0.655,  7/8 ,0.676,0.294,4.98,12.1,1.69,1.25,0.685,0.844,2.21,1.69,1.1,0.966,0.111,0.0426,1.37,0.88,10,14,10.3,14.3,2  1/4 
WT,WT3X6,WT3X6,F,6,1.78,3.02,3,4,4,0.23,  1/4 ,  1/8 ,0.28,  1/4 ,0.53,  3/4 ,0.677,0.222,7.14,13.1,1.32,1.01,0.564,0.862,1.5,1.16,0.748,0.918,0.0449,0.0178,1.37,0.846,9.7,13.7,10,14,2  1/4 
WT,WT3X4.5,WT3X4.5,F,4.5,1.34,2.95,3,3.94,4,0.17,  3/16,  1/8 ,0.215,  3/16,0.465, 11/16,0.623,0.17,9.16,17.4,0.95,0.72,0.408,0.842,1.1,0.856,0.557,0.905,0.0202,0.00736,1.34,0.852,9.5,13.4,9.84,13.8,2  1/4 
WT,WT3X4.25,WT3X4.25,F,4.25,1.26,2.92,2  7/8 ,3.94,4,0.17,  3/16,  1/8 ,0.195,  3/16,0.445, 11/16,0.637,0.16,10.1,17.2,0.905,0.7,0.397,0.848,0.995,0.778,0.505,0.89,0.0166,0.0062,1.34,0.839,9.44,13.4,9.78,13.7,2  1/4 
WT,WT2.5X9.5,WT2.5X9.5,F,9.5,2.78,2.58,2  5/8 ,5.03,5,0.27,  1/4 ,  1/8 ,0.43,  7/16,0.73, 13/16,0.487,0.276,5.85,9.56,1.01,0.97,0.485,0.604,4.56,2.76,1.81,1.28,0.157,0.0775,1.44,0.964,9.93,15,10.2,15.2,2  3/4 
WT,WT2.5X8,WT2.5X8,F,8,2.35,2.51,2  1/2 ,5,5,0.24,  1/4 ,  1/8 ,0.36,  3/8 ,0.66,  3/4 ,0.458,0.235,6.94,10.5,0.845,0.801,0.413,0.599,3.75,2.28,1.5,1.26,0.0958,0.0453,1.43,0.962,9.76,14.8,10,15,2  3/4 
WT,WT2X6.5,WT2X6.5,F,6.5,1.91,2.08,2  1/8 ,4.06,4,0.28,  1/4 ,  1/8 ,0.345,  3/8 ,0.595,  3/4 ,0.44,0.236,5.88,7.43,0.526,0.616,0.321,0.524,1.93,1.46,0.95,1,0.075,0.0233,1.16,0.947,7.95,12,8.22,12.3,2  1/4 
MT,MT6.25X6.2,MT6.25X6.2,F,6.2,1.82,6.27,6  1/4 ,3.75,3  3/4 ,0.155,  1/8 ,  1/16,0.228,  1/4 ,0.563,  9/16,1.74,0.372,8.22,40.4,7.29,2.92,1.61,2.01,1,0.839,0.536,0.746,0.0246,0.0284,2.69,0.634,–,–,–,–,–
MT,MT6.25X5.8,MT6.25X5.8,F,5.8,1.7,6.25,6  1/4 ,3.5,3  1/2 ,0.155,  1/8 ,  1/16,0.211,  3/16,0.563,  9/16,1.84,0.808,8.29,40.3,6.94,2.86,1.57,2.03,0.756,0.684,0.432,0.669,0.0206,0.0268,2.75,0.602,–,–,–,–,–
MT,MT6X5.9,MT6X5.9,F,5.9,1.74,6,6,3.07,3  1/8 ,0.177,  3/16,  1/8 ,0.225,  1/4 ,0.563,  9/16,1.89,1.13,6.82,33.9,6.61,2.89,1.61,1.96,0.543,0.575,0.354,0.561,0.0249,0.0337,2.71,0.567,–,–,–,–,–
MT,MT6X5.4,MT6X5.4,F,5.4,1.59,5.99,6,3.07,3  1/8 ,0.16,  3/16,  1/8 ,0.21,  3/16,0.563,  9/16,1.86,1.05,7.31,37.4,6.03,2.63,1.46,1.95,0.506,0.532,0.33,0.566,0.0196,0.025,2.69,0.574,–,–,–,–,–
MT,MT6X5,MT6X5,F,5,1.48,5.99,6,3.25,3  1/4 ,0.149,  1/8 ,  1/16,0.18,  3/16,0.5,  1/2 ,1.86,1.08,9.03,40.2,5.62,2.45,1.36,1.96,0.517,0.509,0.318,0.594,0.0145,0.0202,2.71,0.572,–,–,–,–,–
MT,MT5X4.5,MT5X4.5,F,4.5,1.33,5,5,2.69,2  3/4 ,0.157,  3/16,  1/8 ,0.206,  3/16,0.563,  9/16,1.54,0.808,6.53,31.8,3.47,1.81,1,1.62,0.336,0.403,0.25,0.505,0.0156,0.0138,2.22,0.585,–,–,–,–,–
