Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
WT,WT13.5X153.5,WT13.5X153.5,T,153.5,45.2,14.8,14  3/4 ,14.4,14  1/2 ,1.16,1  3/16,  5/8 ,2.09,2  1/16,2.88,3  5/16,3.47,1.56,3.46,12.8,753,121,66.4,4.08,527,113,72.9,3.41,50.5,304,5.85,0.828,43,57.4,44,58.4,5  1/2 
WT,WT13.5X140.5,WT13.5X140.5,F,140.5,41.5,14.6,14  5/8 ,14.4,14  3/8 ,1.06,1  1/16,  9/16,1.93,1 15/16,2.72,3  1/8 ,3.35,1.44,3.72,13.8,677,109,59.9,4.04,477,103,66.4,3.39,39.6,232,5.79,0.83,42.6,57,43.6,58,5  1/2 
WT,WT13.5X129,WT13.5X129,F,129,38.1,14.5,14  1/2 ,14.3,14  1/4 ,0.98,1,  1/2 ,1.77,1  3/4 ,2.56,3,3.27,1.33,4.03,14.8,613,98.9,54.7,4.02,430,93.3,60.2,3.36,30.7,178,5.76,0.828,42.3,56.6,43.3,57.6,5  1/2 
WT,WT13.5X117.5,WT13.5X117.5,F,117.5,34.7,14.3,14  3/8 ,14.2,14  1/4 ,0.91, 15/16,  1/2 ,1.61,1  5/8 ,2.4,2  7/8 ,3.2,1.22,4.41,15.7,556,89.9,50,4,384,83.8,54.2,3.33,23.4,135,5.73,0.825,41.8,56,42.8,57,5  1/2 
WT,WT13.5X108.5,WT13.5X108.5,F,108.5,32,14.2,14  1/4 ,14.1,14  1/8 ,0.83, 13/16,  7/16,1.5,1  1/2 ,2.29,2 11/16,3.1,1.13,4.71,17.1,502,81.1,45.2,3.96,352,77,49.9,3.32,18.8,105,5.68,0.828,41.5,55.6,42.5,56.6,5  1/2 
WT,WT13.5X97,WT13.5X97,F,97,28.6,14.1,14,14,14,0.75,  3/4 ,  3/8 ,1.34,1  5/16,2.13,2  9/16,3.02,1.02,5.24,18.8,444,71.8,40.3,3.94,309,67.8,44.1,3.29,13.5,74.3,5.64,0.827,41.2,55.2,42.2,56.2,5  1/2 
WT,WT13.5X89,WT13.5X89,F,89,26.3,13.9,13  7/8 ,14.1,14  1/8 ,0.725,  3/4 ,  3/8 ,1.19,1  3/16,1.98,2  3/8 ,3.04,0.932,5.92,19.2,414,67.7,38.2,3.97,278,60.8,39.4,3.25,10,57.7,5.69,0.815,40.9,55,41.9,56,5  1/2 
WT,WT13.5X80.5,WT13.5X80.5,F,80.5,23.8,13.8,13  3/4 ,14,14,0.66, 11/16,  3/8 ,1.08,1  1/16,1.87,2  5/16,2.98,0.849,6.49,20.9,372,60.8,34.4,3.95,248,54.5,35.4,3.23,7.53,42.7,5.66,0.814,40.6,54.6,41.6,55.6,5  1/2 
WT,WT13.5X73,WT13.5X73,F,73,21.6,13.7,13  3/4 ,14,14,0.605,  5/8 ,  5/16,0.975,1,1.76,2  3/16,2.94,0.772,7.16,22.6,336,55,31.2,3.95,222,48.8,31.7,3.2,5.62,31.7,5.64,0.812,40.4,54.4,41.4,55.4,5  1/2 
WT,WT13.5X64.5,WT13.5X64.5,F,64.5,18.9,13.8,13  7/8 ,10,10,0.61,  5/8 ,  5/16,1.1,1  1/8 ,1.7,2  5/16,3.39,0.945,4.55,22.6,323,55.1,31,4.13,92.2,28.8,18.4,2.21,5.55,24,5.48,0.732,36.6,46.6,37.6,47.6,5  1/2 
WT,WT13.5X57,WT13.5X57,F,57,16.8,13.6,13  5/8 ,10.1,10  1/8 ,0.57,  9/16,  5/16,0.93, 15/16,1.53,2  1/8 ,3.42,0.832,5.41,23.9,289,50.4,28.3,4.15,79.3,24.6,15.8,2.18,3.65,17.5,5.54,0.716,36.3,46.4,37.3,47.4,5  1/2 
WT,WT13.5X51,WT13.5X51,F,51,15,13.5,13  1/2 ,10,10,0.515,  1/2 ,  1/4 ,0.83, 13/16,1.43,2  1/16,3.37,0.75,6.03,26.2,258,45,25.3,4.14,69.6,21.7,13.9,2.15,2.63,12.6,5.53,0.713,36,46,37,47,5  1/2 
WT,WT13.5X47,WT13.5X47,F,47,13.8,13.5,13  1/2 ,10,10,0.49,  1/2 ,  1/4 ,0.745,  3/4 ,1.34,1 15/16,3.41,0.692,6.7,27.6,239,42.4,23.8,4.16,62,19.4,12.4,2.12,2.01,10.2,5.57,0.702,36,46,37,47,5  1/2 
WT,WT13.5X42,WT13.5X42,F,42,12.4,13.4,13  3/8 ,10,10,0.46,  7/16,  1/4 ,0.64,  5/8 ,1.24,1  7/8 ,3.48,0.621,7.78,29.1,216,39.2,21.9,4.18,52.8,16.6,10.6,2.07,1.4,7.79,5.63,0.685,35.8,45.8,36.8,46.8,5  1/2 
WT,WT12X185,WT12X185,T,185,54.5,14,14,13.7,13  5/8 ,1.52,1  1/2 ,  3/4 ,2.72,2  3/4 ,3.22,4,3.57,1.99,2.51,9.2,779,140,74.7,3.78,581,133,85.1,3.27,100,553,5.47,0.837,40.7,54.4,41.7,55.4,5  1/2 
WT,WT12X167.5,WT12X167.5,T,167.5,49.1,13.8,13  3/4 ,13.5,13  1/2 ,1.38,1  3/8 , 11/16,2.48,2  1/2 ,2.98,3  3/4 ,3.42,1.82,2.73,10,686,123,66.3,3.73,513,119,75.9,3.23,75.6,405,5.4,0.837,40.1,53.6,41.1,54.6,5  1/2 
WT,WT12X153,WT12X153,T,153,44.9,13.6,13  5/8 ,13.4,13  3/8 ,1.26,1  1/4 ,  5/8 ,2.28,2  1/4 ,2.78,3  9/16,3.29,1.67,2.94,10.8,611,110,59.4,3.69,460,107,68.6,3.2,58.4,305,5.34,0.837,39.6,53,40.6,54,5  1/2 
WT,WT12X139.5,WT12X139.5,T,139.5,41,13.4,13  3/8 ,13.3,13  1/4 ,1.16,1  3/16,  5/8 ,2.09,2  1/16,2.59,3  3/8 ,3.18,1.54,3.18,11.6,546,98.8,53.6,3.65,412,96.3,61.9,3.17,45.1,230,5.28,0.837,39.1,52.4,40.1,53.4,5  1/2 
WT,WT12X125,WT12X125,F,125,36.8,13.2,13  1/8 ,13.2,13  1/8 ,1.04,1  1/16,  9/16,1.89,1  7/8 ,2.39,3  1/8 ,3.05,1.39,3.49,12.7,478,86.5,47.2,3.61,362,85.2,54.9,3.14,33.2,165,5.22,0.838,38.6,51.8,39.6,52.8,5  1/2 
WT,WT12X114.5,WT12X114.5,F,114.5,33.6,13,13,13.1,13  1/8 ,0.96, 15/16,  1/2 ,1.73,1  3/4 ,2.23,3,2.96,1.28,3.79,13.5,431,78.1,42.9,3.58,326,77,49.7,3.11,25.5,125,5.19,0.836,38.1,51.2,39.1,52.2,5  1/2 
WT,WT12X103.5,WT12X103.5,F,103.5,30.3,12.9,12  7/8 ,13,13,0.87,  7/8 ,  7/16,1.57,1  9/16,2.07,2  7/8 ,2.87,1.17,4.14,14.8,382,69.3,38.3,3.55,289,68.6,44.4,3.08,19.1,91.3,5.14,0.836,37.8,50.8,38.8,51.8,5  1/2 
WT,WT12X96,WT12X96,F,96,28.2,12.7,12  3/4 ,13,13,0.81, 13/16,  7/16,1.46,1  7/16,1.96,2  3/4 ,2.8,1.09,4.43,15.7,350,63.5,35.2,3.53,265,63.1,40.9,3.07,15.3,72.5,5.11,0.836,37.4,50.4,38.4,51.4,5  1/2 
WT,WT12X88,WT12X88,F,88,25.8,12.6,12  5/8 ,12.9,12  7/8 ,0.75,  3/4 ,  3/8 ,1.34,1  5/16,1.84,2  5/8 ,2.74,1,4.81,16.8,319,57.8,32.2,3.51,240,57.3,37.2,3.04,11.9,55.8,5.09,0.835,37.1,50,38.1,51,5  1/2 
WT,WT12X81,WT12X81,F,81,23.9,12.5,12  1/2 ,13,13,0.705, 11/16,  3/8 ,1.22,1  1/4 ,1.72,2  1/2 ,2.7,0.921,5.31,17.7,293,53.3,29.9,3.5,221,52.6,34.2,3.05,9.22,43.8,5.09,0.832,37,50,38,51,5  1/2 
WT,WT12X73,WT12X73,F,73,21.5,12.4,12  3/8 ,12.9,12  7/8 ,0.65,  5/8 ,  5/16,1.09,1  1/16,1.59,2  3/8 ,2.66,0.833,5.92,19.1,264,48.2,27.2,3.5,195,46.6,30.3,3.01,6.7,31.9,5.08,0.827,36.7,49.6,37.7,50.6,5  1/2 
WT,WT12X65.5,WT12X65.5,F,65.5,19.3,12.2,12  1/4 ,12.9,12  7/8 ,0.605,  5/8 ,  5/16,0.96, 15/16,1.46,2  1/4 ,2.65,0.75,6.7,20.2,238,43.9,24.8,3.52,170,40.7,26.5,2.97,4.74,23.1,5.09,0.818,36.3,49.2,37.3,50.2,5  1/2 
WT,WT12X58.5,WT12X58.5,F,58.5,17.2,12.1,12  1/8 ,12.8,12  3/4 ,0.55,  9/16,  5/16,0.85,  7/8 ,1.35,2  1/8 ,2.62,0.672,7.53,22,212,39.2,22.3,3.51,149,35.7,23.2,2.94,3.35,16.4,5.08,0.814,36,48.8,37,49.8,5  1/2 
WT,WT12X52,WT12X52,F,52,15.3,12,12,12.8,12  3/4 ,0.5,  1/2 ,  1/4 ,0.75,  3/4 ,1.25,2  1/16,2.59,0.6,8.5,24,189,35.1,20,3.51,130,31.2,20.3,2.91,2.35,11.6,5.07,0.809,35.8,48.6,36.8,49.6,5  1/2 
WT,WT12X51.5,WT12X51.5,F,51.5,15.1,12.3,12  1/4 ,9,9,0.55,  9/16,  5/16,0.98,1,1.48,2  1/4 ,3.01,0.841,4.59,22.4,204,39.2,22,3.67,59.7,20.7,13.3,1.99,3.53,12.3,4.88,0.733,32.6,41.6,33.6,42.6,5  1/2 
WT,WT12X47,WT12X47,F,47,13.8,12.2,12  1/8 ,9.07,9  1/8 ,0.515,  1/2 ,  1/4 ,0.875,  7/8 ,1.38,2  1/8 ,2.99,0.764,5.18,23.7,186,36.1,20.3,3.67,54.5,18.7,12,1.98,2.62,9.57,4.89,0.727,32.5,41.5,33.5,42.5,5  1/2 
WT,WT12X42,WT12X42,F,42,12.4,12.1,12,9.02,9,0.47,  1/2 ,  1/4 ,0.77,  3/4 ,1.27,2  1/16,2.97,0.685,5.86,25.7,166,32.5,18.3,3.67,47.2,16.3,10.5,1.95,1.84,6.9,4.9,0.72,32.2,41.2,33.2,42.2,5  1/2 
WT,WT12X38,WT12X38,F,38,11.2,12,12,8.99,9,0.44,  7/16,  1/4 ,0.68, 11/16,1.18,1 15/16,3,0.622,6.61,27.3,151,30.1,16.9,3.68,41.3,14.3,9.18,1.92,1.34,5.3,4.93,0.709,32,41,33,42,5  1/2 
WT,WT12X34,WT12X34,F,34,10,11.9,11  7/8 ,8.97,9,0.415,  7/16,  1/4 ,0.585,  9/16,1.09,1  7/8 ,3.06,0.56,7.66,28.7,137,27.9,15.6,3.7,35.2,12.3,7.85,1.87,0.932,4.08,4.99,0.691,31.8,40.7,32.8,41.7,5  1/2 
WT,WT12X31,WT12X31,F,31,9.11,11.9,11  7/8 ,7.04,7,0.43,  7/16,  1/4 ,0.59,  9/16,1.09,1  1/2 ,3.46,1.28,5.97,27.7,131,28.4,15.6,3.79,17.2,7.85,4.9,1.38,0.85,3.92,5.13,0.619,30.2,37.2,30.8,37.9,3  1/2 
WT,WT12X27.5,WT12X27.5,F,27.5,8.1,11.8,11  3/4 ,7.01,7,0.395,  3/8 ,  3/16,0.505,  1/2 ,1.01,1  7/16,3.5,1.53,6.94,29.9,117,25.6,14.1,3.8,14.5,6.65,4.15,1.34,0.588,2.93,5.17,0.606,29.9,36.9,30.6,37.6,3  1/2 
WT,WT10.5X137.5,WT10.5X137.5,T,137.5,40.9,12.1,12  1/8 ,12.9,12  7/8 ,1.22,1  1/4 ,  5/8 ,2.19,2  3/16,3.37,3  7/16,2.9,1.59,2.95,9.92,420,86.3,45.7,3.2,394,95.1,61.1,3.1,53.5,224,4.81,0.859,36.1,49,37.1,50,5  1/2 
WT,WT10.5X124,WT10.5X124,F,124,37,11.9,11  7/8 ,12.8,12  3/4 ,1.1,1  1/8 ,  9/16,1.99,2,3.17,3  1/4 ,2.77,1.45,3.22,10.8,368,75.7,40.3,3.15,349,84.8,54.5,3.07,40.2,163,4.75,0.86,35.6,48.4,36.6,49.4,5  1/2 
WT,WT10.5X111.5,WT10.5X111.5,F,111.5,33.2,11.7,11  3/4 ,12.7,12  3/4 ,1,1,  1/2 ,1.79,1 13/16,2.97,3  1/16,2.66,1.31,3.55,11.7,324,66.7,35.9,3.12,307,74.9,48.3,3.04,29.6,117,4.7,0.859,35.1,47.8,36.1,48.8,5  1/2 
WT,WT10.5X100.5,WT10.5X100.5,F,100.5,29.6,11.5,11  1/2 ,12.6,12  5/8 ,0.91, 15/16,  1/2 ,1.63,1  5/8 ,2.13,2  7/8 ,2.57,1.18,3.86,12.6,285,58.6,31.9,3.1,271,66.5,43.1,3.02,20.4,85.4,4.67,0.859,34.6,47.2,35.6,48.2,5  1/2 
WT,WT10.5X91,WT10.5X91,F,91,26.8,11.4,11  3/8 ,12.5,12  1/2 ,0.83, 13/16,  7/16,1.48,1  1/2 ,1.98,2  3/4 ,2.48,1.07,4.22,13.7,253,52.1,28.5,3.07,241,59.5,38.6,3,15.3,63,4.64,0.859,34.3,46.8,35.3,47.8,5  1/2 
WT,WT10.5X83,WT10.5X83,F,83,24.4,11.2,11  1/4 ,12.4,12  3/8 ,0.75,  3/4 ,  3/8 ,1.36,1  3/8 ,1.86,2  5/8 ,2.39,0.983,4.57,14.9,226,46.3,25.5,3.04,217,53.9,35,2.99,11.8,47.3,4.59,0.861,33.8,46.2,34.8,47.2,5  1/2 
WT,WT10.5X73.5,WT10.5X73.5,F,73.5,21.6,11,11,12.5,12  1/2 ,0.72,  3/4 ,  3/8 ,1.15,1  1/8 ,1.65,2  7/16,2.39,0.864,5.44,15.3,204,42.4,23.7,3.08,188,46.3,30,2.95,7.69,32.5,4.63,0.846,33.5,46,34.5,47,5  1/2 
WT,WT10.5X66,WT10.5X66,F,66,19.4,10.9,10  7/8 ,12.4,12  1/2 ,0.65,  5/8 ,  5/16,1.04,1  1/16,1.54,2  1/4 ,2.33,0.78,6.01,16.8,181,37.6,21.1,3.06,166,41.1,26.7,2.93,5.62,23.4,4.6,0.845,33.2,45.6,34.2,46.6,5  1/2 
WT,WT10.5X61,WT10.5X61,F,61,17.9,10.8,10  7/8 ,12.4,12  3/8 ,0.6,  5/8 ,  5/16,0.96, 15/16,1.46,2  1/4 ,2.28,0.724,6.45,18,166,34.3,19.3,3.04,152,37.8,24.6,2.91,4.47,18.4,4.58,0.846,33,45.4,34,46.4,5  1/2 
WT,WT10.5X55.5,WT10.5X55.5,F,55.5,16.3,10.8,10  3/4 ,12.3,12  3/8 ,0.55,  9/16,  5/16,0.875,  7/8 ,1.38,2  1/8 ,2.23,0.662,7.05,19.6,150,31,17.5,3.03,137,34.1,22.2,2.9,3.4,13.8,4.56,0.845,32.9,45.2,33.9,46.2,5  1/2 
WT,WT10.5X50.5,WT10.5X50.5,F,50.5,14.9,10.7,10  5/8 ,12.3,12  1/4 ,0.5,  1/2 ,  1/4 ,0.8, 13/16,1.3,2  1/16,2.18,0.605,7.68,21.4,135,27.9,15.8,3.01,124,30.8,20.2,2.89,2.6,10.4,4.53,0.846,32.7,45,33.7,46,5  1/2 
WT,WT10.5X46.5,WT10.5X46.5,F,46.5,13.7,10.8,10  3/4 ,8.42,8  3/8 ,0.58,  9/16,  5/16,0.93, 15/16,1.43,1  5/8 ,2.74,0.812,4.53,18.6,144,31.8,17.9,3.25,46.4,17.3,11,1.84,3.01,9.33,4.37,0.73,29.5,37.9,30,38.4,5  1/2 
WT,WT10.5X41.5,WT10.5X41.5,F,41.5,12.2,10.7,10  3/4 ,8.36,8  3/8 ,0.515,  1/2 ,  1/4 ,0.835, 13/16,1.34,1  1/2 ,2.66,0.728,5,20.8,127,28,15.7,3.22,40.7,15.2,9.74,1.83,2.16,6.5,4.33,0.732,29.2,37.6,29.8,38.1,5  1/2 
WT,WT10.5X36.5,WT10.5X36.5,F,36.5,10.7,10.6,10  5/8 ,8.3,8  1/4 ,0.455,  7/16,  1/4 ,0.74,  3/4 ,1.24,1  7/16,2.6,0.647,5.6,23.3,110,24.4,13.8,3.21,35.3,13.3,8.51,1.81,1.51,4.42,4.3,0.732,29,37.3,29.5,37.8,5  1/2 
WT,WT10.5X34,WT10.5X34,F,34,10,10.6,10  5/8 ,8.27,8  1/4 ,0.43,  7/16,  1/4 ,0.685, 11/16,1.19,1  3/8 ,2.59,0.606,6.04,24.7,103,22.9,12.9,3.2,32.4,12.2,7.83,1.8,1.22,3.62,4.3,0.728,29,37.2,29.5,37.7,5  1/2 
WT,WT10.5X31,WT10.5X31,F,31,9.13,10.5,10  1/2 ,8.24,8  1/4 ,0.4,  3/8 ,  3/16,0.615,  5/8 ,1.12,1  5/16,2.58,0.554,6.7,26.3,93.8,21.1,11.9,3.21,28.7,10.9,6.97,1.77,0.913,2.78,4.31,0.721,28.7,37,29.2,37.5,5  1/2 
WT,WT10.5X27.5,WT10.5X27.5,F,27.5,8.1,10.4,10  3/8 ,8.22,8  1/4 ,0.375,  3/8 ,  3/16,0.522,  1/2 ,1.02,1  3/16,2.64,0.493,7.87,27.7,84.4,19.4,10.9,3.23,24.2,9.18,5.89,1.73,0.617,2.08,4.37,0.703,28.5,36.7,29,37.2,5  1/2 
WT,WT10.5X24,WT10.5X24,F,24,7.07,10.3,10  1/4 ,8.14,8  1/8 ,0.35,  3/8 ,  3/16,0.43,  7/16,0.93,1  1/8 ,2.74,0.459,9.47,29.4,74.9,17.8,9.9,3.26,19.4,7.44,4.76,1.66,0.4,1.52,4.44,0.676,28.2,36.4,28.7,36.9,5  1/2 
WT,WT10.5X28.5,WT10.5X28.5,F,28.5,8.37,10.5,10  1/2 ,6.56,6  1/2 ,0.405,  3/8 ,  3/16,0.65,  5/8 ,1.15,1  5/16,2.85,0.638,5.04,25.9,90.4,21.2,11.8,3.29,15.3,7.4,4.67,1.35,0.884,2.5,4.36,0.665,27,33.6,27.6,34.1,3  1/2 
WT,WT10.5X25,WT10.5X25,F,25,7.36,10.4,10  3/8 ,6.53,6  1/2 ,0.38,  3/8 ,  3/16,0.535,  9/16,1.04,1  1/4 ,2.93,0.771,6.1,27.4,80.3,19.4,10.7,3.3,12.5,6.08,3.82,1.3,0.57,1.89,4.44,0.64,26.8,33.3,27.3,33.9,3  1/2 
WT,WT10.5X22,WT10.5X22,F,22,6.49,10.3,10  3/8 ,6.5,6  1/2 ,0.35,  3/8 ,  3/16,0.45,  7/16,0.95,1  1/8 ,2.98,1.06,7.22,29.4,71.1,17.6,9.68,3.31,10.3,5.07,3.18,1.26,0.383,1.4,4.49,0.623,26.6,33.1,27.1,33.6,3  1/2 
WT,WT9X155.5,WT9X155.5,F,155.5,45.8,11.2,11  1/8 ,12,12,1.52,1  1/2 ,  3/4 ,2.74,2  3/4 ,3.24,3  9/16,2.93,1.91,2.19,7.37,383,90.6,46.6,2.89,398,104,66.2,2.95,87.2,339,4.41,0.875,33.7,45.7,34.4,46.4,5  1/2 
WT,WT9X141.5,WT9X141.5,F,141.5,41.7,10.9,10  7/8 ,11.9,11  7/8 ,1.4,1  3/8 , 11/16,2.5,2  1/2 ,3,3  3/8 ,2.8,1.75,2.38,7.79,337,80.2,41.5,2.85,352,92.5,59.2,2.91,66.5,251,4.36,0.873,33,44.9,33.7,45.6,5  1/2 
WT,WT9X129,WT9X129,F,129,38,10.7,10  3/4 ,11.8,11  3/4 ,1.28,1  1/4 ,  5/8 ,2.3,2  5/16,2.7,3  3/16,2.68,1.61,2.56,8.36,298,71,37,2.8,314,83.1,53.4,2.88,51.1,189,4.3,0.874,32.5,44.3,33.2,45,5  1/2 
WT,WT9X117,WT9X117,F,117,34.3,10.5,10  1/2 ,11.7,11  5/8 ,1.16,1  3/16,  5/8 ,2.11,2  1/8 ,2.51,3,2.55,1.48,2.76,9.05,261,62.4,32.7,2.75,279,74.4,47.9,2.85,39.1,140,4.23,0.875,32,43.7,32.7,44.4,5  1/2 
WT,WT9X105.5,WT9X105.5,F,105.5,31.2,10.3,10  3/8 ,11.6,11  1/2 ,1.06,1  1/16,  9/16,1.91,1 15/16,2.31,2 13/16,2.44,1.34,3.02,9.72,229,55,29.1,2.72,246,66.1,42.7,2.82,29.1,102,4.19,0.874,31.5,43.1,32.2,43.8,5  1/2 
WT,WT9X96,WT9X96,F,96,28.1,10.2,10  1/8 ,11.5,11  1/2 ,0.96, 15/16,  1/2 ,1.75,1  3/4 ,2.15,2  5/8 ,2.34,1.23,3.27,10.6,202,48.5,25.8,2.68,220,59.4,38.4,2.79,22.3,75.7,4.13,0.875,31.2,42.7,31.9,43.4,5  1/2 
WT,WT9X87.5,WT9X87.5,F,87.5,25.7,10,10,11.4,11  3/8 ,0.89,  7/8 ,  7/16,1.59,1  9/16,1.99,2  7/16,2.26,1.13,3.58,11.2,181,43.6,23.4,2.66,196,53.1,34.4,2.76,16.8,56.5,4.1,0.872,30.7,42.1,31.4,42.8,5  1/2 
WT,WT9X79,WT9X79,F,79,23.2,9.86,9  7/8 ,11.3,11  1/4 ,0.81, 13/16,  7/16,1.44,1  7/16,1.84,2  3/8 ,2.17,1.02,3.92,12.2,160,38.5,20.8,2.63,174,47.4,30.7,2.74,12.5,41.2,4.06,0.872,30.3,41.6,31,42.3,5  1/2 
WT,WT9X71.5,WT9X71.5,F,71.5,21,9.75,9  3/4 ,11.2,11  1/4 ,0.73,  3/4 ,  3/8 ,1.32,1  5/16,1.72,2  3/16,2.09,0.937,4.25,13.4,142,34,18.5,2.6,156,42.7,27.7,2.72,9.58,30.7,4.02,0.874,30,41.2,30.7,41.9,5  1/2 
WT,WT9X65,WT9X65,F,65,19.2,9.63,9  5/8 ,11.2,11  1/8 ,0.67, 11/16,  3/8 ,1.2,1  3/16,1.6,2  1/16,2.02,0.856,4.65,14.4,127,30.5,16.7,2.58,139,38.3,24.9,2.7,7.23,22.8,4,0.873,29.8,41,30.5,41.7,5  1/2 
WT,WT9X59.5,WT9X59.5,F,59.5,17.6,9.49,9  1/2 ,11.3,11  1/4 ,0.655,  5/8 ,  5/16,1.06,1  1/16,1.46,1 15/16,2.03,0.778,5.31,14.5,119,28.7,15.9,2.6,126,34.5,22.5,2.69,5.3,17.4,4.03,0.862,29.6,40.9,30.3,41.6,5  1/2 
WT,WT9X53,WT9X53,F,53,15.6,9.37,9  3/8 ,11.2,11  1/4 ,0.59,  9/16,  5/16,0.94, 15/16,1.34,1 13/16,1.97,0.695,5.96,15.9,104,25.2,14.1,2.59,110,30.2,19.7,2.66,3.73,12.1,4,0.86,29.3,40.5,29.9,41.1,5  1/2 
WT,WT9X48.5,WT9X48.5,F,48.5,14.2,9.3,9  1/4 ,11.1,11  1/8 ,0.535,  9/16,  5/16,0.87,  7/8 ,1.27,1  3/4 ,1.91,0.64,6.41,17.4,93.8,22.6,12.7,2.56,100,27.6,18,2.65,2.92,9.29,3.97,0.863,29,40.1,29.7,40.8,5  1/2 
WT,WT9X43,WT9X43,F,43,12.7,9.2,9  1/4 ,11.1,11  1/8 ,0.48,  1/2 ,  1/4 ,0.77,  3/4 ,1.17,1  5/8 ,1.86,0.57,7.2,19.2,82.4,19.9,11.2,2.55,87.6,24.2,15.8,2.63,2.04,6.42,3.95,0.861,28.8,39.9,29.5,40.6,5  1/2 
WT,WT9X38,WT9X38,F,38,11.1,9.11,9  1/8 ,11,11,0.425,  7/16,  1/4 ,0.68, 11/16,1.08,1  9/16,1.8,0.505,8.11,21.4,71.8,17.3,9.83,2.54,76.2,21.1,13.8,2.61,1.41,4.37,3.93,0.861,28.5,39.5,29.2,40.2,5  1/2 
WT,WT9X35.5,WT9X35.5,F,35.5,10.4,9.24,9  1/4 ,7.64,7  5/8 ,0.495,  1/2 ,  1/4 ,0.81, 13/16,1.21,1  1/2 ,2.26,0.683,4.71,18.7,78.2,20,11.2,2.74,30.1,12.3,7.89,1.7,1.74,3.96,3.72,0.752,25.6,33.2,26.1,33.8,3  1/2 
WT,WT9X32.5,WT9X32.5,F,32.5,9.55,9.18,9  1/8 ,7.59,7  5/8 ,0.45,  7/16,  1/4 ,0.75,  3/4 ,1.15,1  7/16,2.2,0.629,5.06,20.4,70.7,18,10.1,2.72,27.4,11.2,7.22,1.69,1.36,3.01,3.69,0.755,25.4,33,26,33.5,3  1/2 
WT,WT9X30,WT9X30,F,30,8.82,9.12,9  1/8 ,7.56,7  1/2 ,0.415,  7/16,  1/4 ,0.695, 11/16,1.1,1  3/8 ,2.16,0.583,5.44,22,64.7,16.5,9.29,2.71,25,10.3,6.63,1.68,1.08,2.35,3.67,0.756,25.3,32.8,25.8,33.4,3  1/2 
WT,WT9X27.5,WT9X27.5,F,27.5,8.1,9.06,9,7.53,7  1/2 ,0.39,  3/8 ,  3/16,0.63,  5/8 ,1.03,1  5/16,2.16,0.538,5.98,23.2,59.5,15.3,8.63,2.71,22.5,9.26,5.97,1.67,0.83,1.84,3.68,0.749,25.1,32.7,25.7,33.2,3  1/2 
WT,WT9X25,WT9X25,F,25,7.34,9,9,7.5,7  1/2 ,0.355,  3/8 ,  3/16,0.57,  9/16,0.972,1  1/4 ,2.12,0.489,6.57,25.4,53.5,13.8,7.79,2.7,20,8.28,5.35,1.65,0.619,1.36,3.66,0.748,25,32.5,25.5,33,3  1/2 
WT,WT9X23,WT9X23,F,23,6.77,9.03,9,6.06,6,0.36,  3/8 ,  3/16,0.605,  5/8 ,1.01,1  1/4 ,2.33,0.558,5.01,25.1,52.1,13.9,7.77,2.77,11.3,5.84,3.71,1.29,0.609,1.2,3.67,0.695,23.6,29.7,24.1,30.2,3  1/2 
WT,WT9X20,WT9X20,F,20,5.88,8.95,9,6.02,6,0.315,  5/16,  3/16,0.525,  1/2 ,0.927,1  3/16,2.29,0.489,5.73,28.4,44.8,12,6.73,2.76,9.55,4.97,3.17,1.27,0.404,0.788,3.65,0.693,23.4,29.4,23.9,29.9,3  1/2 
WT,WT9X17.5,WT9X17.5,F,17.5,5.15,8.85,8  7/8 ,6,6,0.3,  5/16,  3/16,0.425,  7/16,0.827,1  1/8 ,2.39,0.45,7.06,29.5,40.1,11.2,6.21,2.79,7.67,4.02,2.56,1.22,0.252,0.598,3.74,0.662,23.2,29.2,23.7,29.7,3  1/2 
WT,WT8X50,WT8X50,F,50,14.7,8.49,8  1/2 ,10.4,10  3/8 ,0.585,  9/16,  5/16,0.985,1,1.39,1  7/8 ,1.76,0.706,5.29,14.5,76.8,20.7,11.4,2.28,93.1,27.4,17.9,2.51,3.85,10.4,3.63,0.878,26.7,37.1,27.4,37.8,5  1/2 
WT,WT8X44.5,WT8X44.5,F,44.5,13.1,8.38,8  3/8 ,10.4,10  3/8 ,0.525,  1/2 ,  1/4 ,0.875,  7/8 ,1.28,1  3/4 ,1.7,0.631,5.92,16,67.2,18.1,10.1,2.27,81.3,24,15.7,2.49,2.72,7.19,3.6,0.877,26.5,36.9,27.2,37.6,5  1/2 
WT,WT8X38.5,WT8X38.5,F,38.5,11.3,8.26,8  1/4 ,10.3,10  1/4 ,0.455,  7/16,  1/4 ,0.76,  3/4 ,1.16,1  5/8 ,1.63,0.549,6.77,18.2,56.9,15.3,8.59,2.24,69.2,20.5,13.4,2.47,1.78,4.61,3.57,0.877,26.1,36.4,26.8,37.1,5  1/2 
